,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
392,1512968,0.5,False,Noord-Oost,52.43572,4.9982,Entire home/apt,2,1,2,5,90.0,2,14,True,0,0,4.89,False,45.0,180.0,0.05,0.09,0.15,4.99,0.2219178082191781,450.0
393,1234621,0.42,False,De Aker - Nieuw Sloten,52.33851,4.79172,Entire home/apt,2,1,1,1,65.0,1,1125,True,5,1,4.43,False,32.5,65.0,0.06,0.11,0.16,2.99,0.6356164383561644,325.0
394,1353468,0.75,False,Noord-Oost,52.42831,4.97889,Entire home/apt,6,3,4,14,233.0,3,30,True,2,1,4.91,False,38.83,699.0,0.11,0.18,0.25,4.99,0.0547945205479452,1110.5479452054794
395,1699370,0.87,True,De Aker - Nieuw Sloten,52.33466,4.78031,Entire home/apt,2,1,1,1,79.0,10,1120,True,0,0,4.8,False,39.5,790.0,0.05,0.12,0.13,4.99,0.8383561643835616,395.16438356164383
396,1259343,0.85,False,Watergraafsmeer,52.3378,4.95391,Entire home/apt,2,1,1,8,115.0,3,7,True,0,2,4.49,False,57.5,345.0,0.08,0.13,0.2,4.99,0.4465753424657534,575.013698630137
397,1817269,1.0,True,Bijlmer-Centrum,52.27353,4.9802,Entire home/apt,4,2,3,1,93.0,4,1125,True,0,3,4.87,False,23.25,372.0,0.05,0.18,0.16,4.99,0.10136986301369863,587.013698630137
398,420095,0.97,False,Buitenveldert - Zuidas,52.30978,4.84245,Entire home/apt,4,2,2,6,150.0,5,1125,True,0,0,5.0,False,37.5,750.0,0.08,0.2,0.17,4.99,0.26575342465753427,750.0
399,2079114,1.0,True,Gaasperdam - Driemond,52.30836,5.02966,Entire home/apt,2,1,2,3,71.0,60,60,True,12,0,4.319999999999999,True,35.5,4260.0,0.06,0.11,0.15,2.99,0.1178082191780822,372.2054794520548
400,1715371,0.18,False,Noord-Oost,52.43133,5.03542,Entire home/apt,6,3,4,5,150.0,7,365,True,0,0,4.78,False,25.0,1050.0,0.08,0.18,0.22,4.99,0.7397260273972602,750.0
401,1067630,0.68,False,Watergraafsmeer,52.33365,4.94144,Entire home/apt,6,3,3,17,429.0,1,1125,True,1,1,4.23,True,71.5,429.0,0.08,0.22,0.3,10.99,0.46301369863013697,2142.7397260273974
402,1094399,0.67,False,Watergraafsmeer,52.31686,4.90708,Entire home/apt,6,3,3,1,100.0,2,1125,True,0,0,4.88,False,16.67,200.0,0.07,0.17,0.17,4.99,0.2273972602739726,500.0
403,854052,1.0,True,Watergraafsmeer,52.340752,4.95829,Private room,2,1,1,5,65.0,2,20,True,1,3,4.34,False,32.5,130.0,0.07,0.13,0.14,2.99,0.0027397260273972603,304.24657534246575
